"","child","parent","edgeWt"
"97","Hutcheson","V68-1034",1
"98","IA 3023","Dairyland DSR-365",1
"99","Illini","A.K.",1
"100","J74-39","Forrest",1
"101","J74-40","Forrest",1
"102","Jackson","Volstate",1
"103","Kanrich","Kanro",1
"104","Kent","Lincoln",1
"105","Kershaw","Hale 3",1
"107","L11","Clark",1
"108","L15","Wayne",1
"109","L15 x L11","L15",1
"111","L49-4091","Lincoln x Richland",1
"112","L57-0034","Clark",1
"113","L66L-137","Wayne",1
"114","L69-4143","Wayne x Kanrich",1
"115","L707-543G","L15",1
"116","Lawrence","Calland",1
"117","Lee","CNS",1
"118","Lee 68","Lee",1
"119","Lee 74","R66-1517",1
"120","Lee x Peking","Lee",1
"121","Leflore","Centennial",1
"123","Lincoln x CNS","Lincoln",1
"124","Lincoln x Richland","Lincoln",1
"125","(Lincoln x Richland) x Korean","Lincoln x Richland",1
"126","M10","Lincoln",1
"127","M327","PI 180501",1
"128","M372","M10",1
"129","M63-217Y","Corsoy",1
"130","Mack","Lee 68",1
"133","Mandarin (Ottowa)","Mandarin",1
"134","Merit","Blackhawk",1
"136","N44-92","Haberlandt",1
"137","N45-2994","Ralsoy",1
"138","N45-2994 x Ogden","N45-2994",1
